good_id,good
0,Баклажаны гриль/с.йогуртовый 150/20гр
1,Капуста с овощами 150гр
2,Напиток из ягод с/м 200гр
3,Хлеб 1 кусочек
4,Ланч бокс маленький 1шт
5,Гречка отварная 150гр
6,Суп гороховый/постный 250гр
7,Винегрет Петровский 120гр
8,Салат бар 1кг
9,Брокколи/морковь/гриле 150гр
10,Суп-пюре томатный/сыр 250гр
11,Свинина/помидор/перец 75/75гр
12,Грибовница со взбитыми яйцами 250гр
13,Булочка с сыром 60гр
14,Напиток из разных фруктов 200гр
15,Лазанья грибная 200гр
16,Пирожок Слойка/мясо
17,Морковь по-тайски 120гр
18,Напиток Яблоневый сад 200гр
19,Картофельное пюре 150гр
20,Говядина с ананас/перец 75/75гр
21,Запеканка картоф/мясо 200гр
22,С-т из кур/картоф/перец/майонез 120гр
23,Морс Таежный 200гр
24,Компот из св.груш/ягоды с/м 200гр
25,Суп из индейки/кр.чечевица 250гр
26,Язык отварной 75гр
27,Солянка рыбная 250гр
28,С-т Оливье по-Старорусски/майонез 120гр
29,Картофель с розмарином 150гр
30,Язык отварной/болг.перец 75/20гр
31,Биточки мясные паровые 100гр
32,Пенне с.сливочный/брокколи/бекон 250г
33,Капуста цветная/с.сливочный/сыр 200гр
34,Кур.филе в горчице/тимьян 80/20гр
35,Винегрет овощной 120гр
36,С-т из краб.пал/огур/кукур/майонез 120гр
37,Лазанья мясная 200гр
38,Суп гороховый/копчености/рулька 250гр
39,Суп-пюре из шампиньонов 250гр
40,Котлеты Полтавские 100гр
41,Суп вермишелевый/кур 250гр
42,Компот из сухофруктов 200гр
43,Макароны 150гр
44,Биточки мясные/с.Неаполитано 100/40гр
45,Витки ветчиные 120гр
46,Картофель отварной 150гр
47,Бургер из цыпленка/грибы 120/30
48,Борщ Московский/мясо 250гр
49,Компот из ананасов/ягод 200гр
50,Напиток Каркаде 200гр
51,Жаркое с грибами 200гр.
52,Суп Деревенский/пшено 250гр
53,Яйца перепелиные/овощная икра 120гр
54,Утиное филе/с.ягодный 100/20гр
55,Суп перловый/грибы 250гр
56,Рисовая лапша/овощи/кунжут 200гр
57,Солянка мясная/копчености/рулька 250гр
58,С-т из огур/помидор/редис/масло 120гр
59,Свинина по-французски 80/20гр
60,Суп Ароматный/тыква 250гр
61,Говядина с рисовой лапшой 200гр
62,Борщ из кваш.кап/постный 250гр
63,Картофель Черри в мундире 150гр
64,Рыба запеч/травы/пергамент 80гр
65,Компот из св.груш 200гр
66,Суп Минестроне/овощной 250гр
67,Рыба жар/лимонной корочке/с.сальса 130гр
68,Картофель запеченый 150гр
69,Щи зеленые/постные 250гр
70,Харчо из говядины 250гр
71,Суп по-азиатски/куриный 250гр
72,Сердечки куриные/томат/кинза 75/50гр
73,Оладьи из печени/грибы/сметана 100/20
74,Рис с овощами 150гр
75,Рассольник Ленинградский/кур 250гр
76,Картофель жареный 150гр
77,Зразы рыбные/сыр 100гр
78,С-т из огур/помидор/масло 120гр
79,Капуста туш/пряности 150гр
80,Печень жареная/с.Терияки 100гр
81,С-т из огур/перец/масло 120гр
82,Картофель паприкаш 150гр
83,С-т Цезарь/курица 120гр
84,Напиток из шиповника 200гр
85,Пирожок Сосиска в тесте
86,Картофель по-деревенски 150гр
87,Свиная отбивная 80/20гр
88,Пирог Осетинский/мясо 1кусок
89,Котлета куриная б/п 100гр
90,Щи из кваш.кап/картофель 250гр
91,Суп Лигурийский побережный/рыб 250гр
92,Лопатка свиная/горчица 80гр
93,Котлета Домашняя 100гр
94,Колбаски Мюнхенские/с.медово-горч 110/20
95,Суп-гуляш с говядиной 250гр
96,Холодец из индейки 120гр
97,Кур.ножка Тандури 125гр
98,Рыба заливная с яйцом 120гр
99,Макароны с паприкой 150гр
100,Рыба жар/с.медово-горчичный 90/20гр
101,С-т Мясной/майонез 120гр
102,Говядина с ананас/с.кисло-слад 75/75гр
103,Пирожок с капустой/яйцо
104,Сельдь под шубой 120гр
105,Детокс вода огур/лимон/баз 200 гр
106,Лазанья из птицы 200гр
107,Крокеты из индейки/черносл/с.чили 120/20
108,Люля-кебаб 100/20гр
109,Медальоны свиные Терияки 100гр
110,С-т с острым цыпленком/ананас/рос 120гр
111,Пирожок с курицей
112,Овощи с/м отварные 150гр
113,С-т Карри/кур/майонез 120гр
114,Свекольник с мясом/горячий 250гр
115,Колбаски Охотничьи на гриле 115/20гр
116,Бульон из кур прозрачный/яйцо 250гр
117,С-т из буженины/с.зеленый 120гр
118,Рис отварной 150гр
119,Капуста цветная Гратен 200гр
120,Суп-пюре из брокколи 250гр
121,Рыба отв/овощи на пару 80/20гр
122,Кейк из трески/с.коктейль 120/30гр
123,С-т из огур/помидор/морк/масло 120гр
124,С-т из огур/помидор/перец/масло 120гр
125,Помидоры Провансаль 200гр
126,Рассольник по-старорусски/овощи 250гр
127,Компот из винограда/мяты 200гр
128,Бефстроганов из говядины 75/50гр
129,С-т из перца/брынзы/масла 120гр
130,Цыпленок/овощи/с.терияки 100/40гр
131,Студень мясной 120гр
132,Котлета Московская 100гр
133,С-т Оливье/колбаса/майонез 120гр
134,Кур.филе отварное/овощи 100гр
135,Рулет из курицы/сыр 120гр
136,С-т из кур.карри/сельдерей/гр.орех 120гр
137,Стейк из свиной шеи/Гремолата 80/20гр
138,С-т из кур/сельдер/гренки/с.цезарь 120гр
139,Медальоны свиные Барбекю 100гр
140,Пирожок с картоф/бекон
141,Суп-пюре из курицы 250гр
142,Овощи гриль/з.йогуртовая 150/20гр
143,Карпаччо из сала/картоф/грибы 120гр
144,Шницель куриный/натуральный 100гр
145,Суп-пюре из овощей с/м 250гр
146,С-т с хурмой/помидор/брынза 120гр
147,С-т Морской коктейль/овощи 120гр
148,Пирожок с ветч/сыр 60гр
149,Айлазан из свежих овощей 200гр
150,Печень запеч/сметана 100/20
151,Пирожок с мясом
152,Фасоль стручк/овощи/с.томатный 150гр
153,С-т из б/к/укроп 120гр
154,С-т Витаминный/масло 120гр
155,С-т Слоеный/краб.пал 120гр
156,Эскалоп из свинины/лук фри 80/20гр
157,Суп-пюре из тыквы 250гр
